miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-bantam-3p	1	2.1233604516021916	0.387067238836479	0.636243028673483
dme-bantam-5p	4	2.6546985815602837	0.0877641951682689	0.351383169057309
dme-let-7-3p	6	2.06337938902269	0.114750453496697	0.412198291498625
dme-let-7-5p	1	2.9595495288439437	0.297308698631202	0.572266387622328
dme-miR-1-3p	1	0.9094178962049475	0.675658105441015	0.719985042562268
dme-miR-1-5p	1	1.487077067669173	0.500768972684421	0.660545567166658
dme-miR-10-3p	2	0.7083724129306571	0.776172323319783	0.733482151729785
dme-miR-10-5p	1	4.205328135152697	0.221938827365483	0.53042221667664
dme-miR-100-3p	1	4.127910685805423	0.225525183427194	0.531549303967608
dme-miR-1000-3p	3	2.534928625612027	0.138346159783452	0.446393681355819
dme-miR-1000-5p	6	2.318057981138666	0.0794686696479606	0.341713488959556
dme-miR-1001-3p	1	0.8526039508219367	0.698347426916201	0.723771886603919
dme-miR-1001-5p	2	2.480031633056544	0.21055928909524	0.524827063664488
dme-miR-1002-3p	3	2.2709617180205415	0.172005540242249	0.48837534175902
dme-miR-1002-5p	6	3.6269210933470863	0.0146568537608816	0.13685730270351
dme-miR-1003-3p	1	1.8687875678053072	0.426856665304186	0.646293295357829
dme-miR-1003-5p	3	3.831889081455806	0.0560342546356869	0.32118122098909
dme-miR-1004-3p	1	1.8904373610081542	0.423261469727033	0.646074522039419
dme-miR-1004-5p	1	0.8205196535642905	0.711695303548502	0.725589671805937
dme-miR-1005-3p	1	1.511516887456737	0.49523825738466	0.658950898531688
dme-miR-1006-3p	2	0.7167582591118691	0.771016820406465	0.731767754340887
dme-miR-1006-5p	3	1.9492863321799307	0.229899067689002	0.531670814866708
dme-miR-1007-3p	2	3.4756431308155444	0.126866884692868	0.428414035409753
dme-miR-1007-5p	2	2.3078626799557034	0.233777359174702	0.532126006080038
dme-miR-1008-5p	13	4.019176381320273	0.00220413313862725	0.0523282593881642
dme-miR-1010-3p	1	1.8423944476576055	0.431320724403083	0.646587534554305
dme-miR-1010-5p	1	0.9799873936337851	0.648548668399721	0.714309336834186
dme-miR-1011-3p	3	1.612256039306674	0.315598582020422	0.578873827483259
dme-miR-1012-3p	1	1.2295049892388965	0.568313366180185	0.691023695758853
dme-miR-1013-3p	5	1.9220443985544657	0.16321325878562	0.472974861334111
dme-miR-1014-3p	8	3.7505898213683855	0.00621775700821359	0.0884565577508206
dme-miR-1014-5p	2	1.1584810617068682	0.532891704531321	0.671554270275023
dme-miR-1016-5p	6	3.4318114874815904	0.0183247121894389	0.15450216675881
dme-miR-11-5p	1	0.9080779944289693	0.675658105441015	0.719985042562268
dme-miR-12-5p	2	1.8837138508371385	0.307160882702448	0.575936710511555
dme-miR-125-3p	1	0.6164173770993925	0.805227471291905	0.738496327450966
dme-miR-133-3p	1	2.870205173951829	0.307032132826005	0.575653251237843
dme-miR-133-5p	3	3.1041301627033793	0.090628314750022	0.352149409773378
dme-miR-137-3p	6	3.269162042697263	0.0226012608897909	0.177319131251024
dme-miR-13a-5p	2	3.0893772893772895	0.152368075216359	0.46190859231559
dme-miR-13b-1-5p	1	0.7163644898198674	0.758109422967656	0.730902257953288
dme-miR-14-5p	2	4.694902823615695	0.0773371841048487	0.340720296087467
dme-miR-184-3p	1	3.77953216374269	0.242054869820333	0.535899337565042
dme-miR-184-5p	2	1.7091666666666667	0.347701127778394	0.611475554755021
dme-miR-193-3p	3	8.113219481340924	0.00846830061271457	0.0970857297678187
dme-miR-193-5p	2	1.6433734939759037	0.364104496783688	0.625352553935275
dme-miR-210-3p.2	5	6.492708333333334	0.00236500921012984	0.0562276441178081
dme-miR-210-5p	2	0.9533788174139052	0.6333666516413	0.712338493689959
dme-miR-219-3p	3	4.349602854840566	0.0417894512579337	0.272404264225378
