miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-miR-2283-5p	19	6.060922295868002	1.24552759425778e-05	0.00417251744076356
dme-miR-2501-3p	6	6.806690777576853	0.000647557994536789	0.0917872793741397
dme-miR-956-5p	11	3.8897016361886427	0.00120899847027695	0.107744621427246
dme-miR-973-3p	6	5.888976377952756	0.001310133284962	0.109626916574748
dme-miR-2283-3p	7	4.889003554638229	0.00167678802526662	0.112143171917687
dme-miR-2279-5p	16	3.4215620507906084	0.00177471957376577	0.128647063967116
dme-miR-289-5p	16	3.225046040515654	0.0028386628817359	0.13462027202521
dme-miR-963-5p	4	7.403590040532715	0.00328378607067745	0.135785259218074
dme-miR-9373-5p	10	3.4302253590886576	0.00374933329592126	0.137380984274609
dme-miR-210-5p	8	3.8303148963941918	0.00388076376586976	0.139400826709316
dme-miR-954-3p	6	4.400956937799043	0.0051602713584314	0.148797277673391
dme-miR-1008-5p	15	2.951251646903821	0.00535763012724812	0.156570138315641
dme-miR-972-5p	15	2.7600100730294637	0.00858738091395752	0.203653144321576
dme-miR-4979-5p	12	2.8291905074570867	0.00867281597152311	0.217823681483061
dme-miR-33-3p	10	2.925520381613183	0.0097917155329043	0.221089542507864
dme-miR-9378-5p	4	4.875120633082417	0.0136163435565686	0.280184347620224
dme-miR-375-3p	7	3.0137203555489984	0.018690917334534	0.361918800766935
dme-miR-964-3p	8	2.7847414802489676	0.0201290435638817	0.374139031845881
dme-miR-193-5p	5	3.5334254620832612	0.0217152933383189	0.382090968091963
dme-miR-4966-3p	5	3.4883654776127893	0.0228485508401379	0.382862471760793
dme-miR-957-5p	10	2.4845708317508546	0.0240820675165392	0.384066976199795
dme-miR-303-3p	9	2.5204097470122613	0.0265208754663225	0.386369835169523
dme-miR-980-5p	11	2.3358892438764642	0.0294458867977527	0.393691846456232
dme-miR-1013-3p	8	2.5660117200965185	0.0297091189502971	0.401792688080492
dme-miR-7-3p	13	2.2676477924669496	0.0300312079179437	0.403731186953938
dme-miR-966-5p	5	3.2198289515362686	0.0306013567399035	0.413855232912808
dme-miR-9369-3p	10	2.363138686131387	0.0311550551332321	0.418277415213709
dme-miR-252-3p	4	3.5809277610225476	0.0356933506874618	0.426393979466851
dme-miR-279-5p	5	3.0659806295399514	0.0362349705871839	0.428744181199467
dme-miR-4908-3p	4	3.35203668734826	0.0425276343117016	0.465004692955012
dme-miR-958-5p	4	3.3260141919935733	0.043308814239729	0.470870966007905
dme-miR-4985-3p	2	6.226878612716763	0.0463701279849222	0.474600922601443
dme-miR-2492-3p	11	2.1232431360888095	0.048075976396405	0.481735802244009
dme-miR-987-5p	7	2.398961854176726	0.0489504724954003	0.485196419551036
dme-miR-133-5p	4	3.2014462809917354	0.0492203428709731	0.487843485468156
dme-miR-992-3p	4	3.103448275862069	0.0531089081665729	0.493567738535296
dme-miR-33-5p	7	2.3278447515436635	0.0555583278863623	0.494194061162529
dme-miR-4977-5p	10	2.089688328912467	0.0564955860954737	0.496445488587373
dme-miR-4911-3p	9	2.1045776457183707	0.0612514687576494	0.497943867169557
dme-miR-975-3p	3	3.5922136970730323	0.0614821948798549	0.498547185974241
dme-miR-4944-5p	5	2.6051569214741503	0.0618972052658894	0.502686584466901
dme-miR-4967-5p	8	2.164078056551175	0.0625095844346049	0.50430807805035
dme-miR-2500-3p	8	2.1455120601028073	0.0647457729266665	0.505643094960923
dme-let-7-3p	8	2.1409117821195975	0.0648872662483735	0.506434243865703
dme-miR-1004-5p	4	2.8446343999075894	0.0680361908126176	0.514265556010889
dme-miR-9384-3p	7	2.206987586361849	0.0681942385534966	0.525271255046119
dme-miR-2280-3p	8	2.0683834460269503	0.0748361521093686	0.532847215715976
dme-miR-4951-5p	2	4.4843096234309625	0.0814225626629013	0.555993155034
dme-miR-2281-3p	4	2.6638427283588575	0.081599680489508	0.567462691509994
dme-miR-263b-3p	4	2.594193685102776	0.0869835592808949	0.581672292418111
dme-miR-4977-3p	3	3.063388866314506	0.0888855851300228	0.583774260073867
dme-miR-4958-5p	3	3.033816425120773	0.0911820962600356	0.587148748932518
dme-miR-2489-5p	5	2.2813293330256172	0.093054713390506	0.588118103333937
dme-miR-982-3p	4	2.4675902517949235	0.0998133215059999	0.602208676927767
dme-miR-4916-3p	7	1.9824390494013895	0.101006707046943	0.612507379248183
dme-miR-1009-3p	4	2.4241098070419733	0.103550025599038	0.615072322905046
dme-miR-9370-3p	2	3.843525179856115	0.105009654865368	0.61701282693643
dme-miR-2281-5p	5	2.1891791736149715	0.106177770193052	0.619054559564136
dme-miR-193-3p	2	3.8154761904761907	0.106266584603526	0.619432678787437
dme-miR-2280-5p	3	2.670705630791162	0.118494514093548	0.64328316459515
dme-miR-4982-3p	3	2.675305204540587	0.118494514093548	0.64328316459515
dme-miR-3644-3p	6	1.9599194939620472	0.120718775141403	0.647525768679547
dme-miR-2496-5p	3	2.6434217955957084	0.122383390646968	0.650515119250992
dme-miR-4984-3p	6	1.9457142857142857	0.123742341386755	0.650767264644885
dme-miR-4975-5p	6	1.9342239909039227	0.126549013382981	0.650916314961493
dme-miR-974-3p	5	2.0519544087826027	0.127127658255477	0.65211525820751
dme-miR-4981-3p	2	3.317497403946002	0.132900605197703	0.652266443069538
dme-miR-1002-5p	5	2.0122998694427268	0.133932504951858	0.656234735245565
dme-miR-988-5p	4	2.1740850642927794	0.136840239798515	0.659564586194885
dme-miR-274-3p	7	1.8065747966129835	0.13823126129742	0.66140295457957
dme-miR-4953-3p	12	1.6542799629357445	0.139152595459896	0.664151283392132
dme-miR-100-5p	1	6.946666666666666	0.13990107351435	0.66449273784949
dme-miR-961-3p	7	1.769008437835066	0.147918996515282	0.674887324833936
dme-miR-991-3p	6	1.8277747698971305	0.151588012069163	0.676158653804876
dme-miR-281-3p	2	3.053639846743295	0.152597444268502	0.678605287012105
dme-miR-1016-5p	5	1.9041077969649398	0.155365352799443	0.68133226495043
dme-miR-252-5p	5	1.898238747553816	0.156653111434646	0.681597366948619
dme-miR-4974-3p	10	1.6317530319735392	0.1573394306852	0.684585489880001
dme-miR-4946-5p	8	1.6858966540635036	0.159460317287312	0.686134650170545
dme-miR-4970-5p	2	2.8912352406902815	0.165114096437132	0.688493707401537
dme-miR-4941-3p	2	2.8751129177958448	0.166516962352581	0.691204970001283
dme-miR-968-5p	3	2.184870979144574	0.178463127668121	0.720979276991854
dme-miR-9380-3p	2	2.7302405498281788	0.179241087495343	0.728652996804202
dme-miR-281-2-5p	2	2.6390274314214466	0.18853072292705	0.741986746725545
dme-miR-1014-5p	4	1.8983723699880906	0.188538046233624	0.748841943793832
dme-miR-11-3p	3	2.0886504799548278	0.194547189128562	0.75012476034293
dme-miR-4973-5p	2	2.5727899432278996	0.196448568312536	0.751171154551101
dme-miR-4944-3p	5	1.7359855334538878	0.199909414096725	0.75183034851863
dme-miR-968-3p	4	1.8504498914055227	0.200036746332764	0.752865086283488
dme-miR-967-3p	5	1.7260405421614489	0.202418338748559	0.753407674439571
dme-miR-2491-5p	4	1.8197097020626432	0.207551374370259	0.754261277840093
dme-miR-9377-5p	3	2.0134744422017348	0.208934041475882	0.754335383765589
dme-miR-184-5p	3	2.008107961038254	0.209971930657436	0.754787772696831
dme-miR-2493-3p	3	2.0001084245906973	0.212051609023597	0.754842692398388
dme-miR-309-5p	3	1.9842875591907017	0.215703311633831	0.755648786080848
dme-miR-997-3p	2	2.3588739746457867	0.222659556332933	0.756301682733771
dme-miR-999-3p	3	1.9382040214759448	0.223578846882164	0.756433013589037
dme-miR-3645-3p	4	1.7499078374990784	0.224138439521831	0.757252509518672
dme-miR-9380-5p	2	2.331858407079646	0.226329141989905	0.757790017792821
dme-miR-3641-5p	3	1.8727254192364544	0.237914683687253	0.758150317223535
dme-miR-263a-3p	2	2.2295197740112993	0.240321675945008	0.758241644633274
dme-miR-2497-5p	3	1.8587336134028445	0.240590215335752	0.75863776626304
dme-miR-9370-5p	4	1.6980698859151897	0.241106199796975	0.75923828418108
dme-miR-2a-1-5p	3	1.822360248447205	0.250270899851999	0.759535115635371
dme-miR-994-3p	3	1.8090608498248038	0.253513780320349	0.760554756255665
dme-miR-4-5p	5	1.5575568166241742	0.256079492148287	0.760780553636632
dme-miR-13b-1-5p	3	1.7787223706582462	0.2616531044751	0.760886539112941
dme-miR-9374-3p	1	3.4301986754966887	0.262356667804137	0.761009222218191
dme-miR-4969-3p	1	3.3625974025974026	0.265302366460634	0.76143142257393
dme-miR-2495-3p	1	3.318974358974359	0.269699716297745	0.761929333539839
dme-miR-9384-5p	2	2.05718954248366	0.269943585461182	0.762706100186575
dme-miR-219-3p	2	2.048828125	0.272169942201561	0.763963125649793
dme-miR-210-3p.1	3	1.7308894572321682	0.27476188072059	0.764991484952487
dme-miR-4917-3p	2	2.0200706486833653	0.275881037650989	0.76543159111981
dme-miR-10-5p	1	3.194567901234568	0.278418617511138	0.765571990472722
dme-miR-990-3p	2	2.0079821200510857	0.278850158593726	0.765839694472851
dme-miR-997-5p	2	2.0039834289356278	0.278850158593726	0.765839694472851
dme-miR-8-5p	3	1.673890087691107	0.28851172029475	0.766162424023809
dme-miR-983-3p	3	1.6777087646652864	0.28851172029475	0.766162424023809
dme-miR-1002-3p	3	1.6777087646652864	0.289063442742393	0.767171564891149
dme-miR-4963-5p	4	1.546642037208075	0.291079831596088	0.768221270812773
dme-miR-4983-3p	5	1.4635128464915699	0.295033635253368	0.76848643951444
dme-miR-9378-3p	1	2.92045197740113	0.299780190434747	0.770317654962047
