miRNAs	n_geneset	hyper_pval	OR
dme-miR-263b-5p	2	0.44480718227637817	1.3824501424501425
dme-miR-133-3p	1	0.3055823258239552	2.870205173951829
dme-miR-316-5p	0		
dme-miR-1011-3p	3	0.31583856647837305	1.612256039306674
dme-miR-956-3p	1	0.6263585304222536	1.044013053300979
dme-miR-2489-3p	5	0.20572946245490004	1.7519490851233095
dme-miR-4946-5p	5	0.4089982101673197	1.263401559454191
dme-miR-4976-5p	0		
dme-miR-284-5p	1	0.5388998093619928	1.3352748067351476
dme-miR-1005-3p	1	0.49620090451606885	1.511516887456737
dme-miR-79-5p	1	0.7713969883712368	0.6874858820871922
dme-miR-4967-5p	4	0.45279454272741837	1.2153398926654742
dme-miR-4982-3p	1	0.6154372083266344	1.0763200964768713
dme-miR-929-5p	1	0.8668823325176227	0.4961269522254323
dme-miR-4950-5p	1	0.6029469021143701	1.1145248909074716
dme-miR-280-5p	6	0.29437324733072356	1.4550158091405576
dme-miR-2494-3p	0		
dme-miR-4911-3p	10	0.002706728466745147	3.979483282674772
dme-miR-956-5p	5	0.2026235042233464	1.7629558541266794
dme-miR-4947-5p	3	0.01983934655900685	5.862233143910306
dme-miR-9370-5p	6	0.009599913784873706	4.011631846414455
dme-miR-7-3p	10	0.054751854323814124	2.266699900299103
dme-miR-315-3p	2	0.6029452703755049	1.0107858243451464
dme-miR-34-5p	4	0.007210049894817238	6.075289575289576
dme-miR-1000-5p	6	0.07910569136845677	2.318057981138666
dme-miR-310-5p	1	0.5009493988424712	1.490521606028494
dme-miR-4940-5p	1	0.412295644161929	1.9584164492864815
dme-miR-4956-3p	1	0.6209352331354996	1.0599320882852292
dme-miR-2280-3p	7	0.04962485657240277	2.5060065042808786
dme-miR-9373-3p	1	0.5410873609769133	1.3269473684210527
dme-miR-980-5p	7	0.18161506030785113	1.7133179519905748
dme-miR-982-3p	5	0.009908896945115072	4.531551596139569
dme-miR-2492-5p	1	0.652945766872528	0.9692787524366472
dme-miR-193-5p	2	0.36482704259938525	1.6433734939759037
dme-miR-2492-3p	7	0.2367647200191244	1.5574924036462499
dme-miR-4975-5p	8	0.0029467323551303527	4.30620375640296
dme-miR-4953-3p	10	0.10573906622432297	1.930024591996423
dme-miR-2499-3p	1	0.4816965343090508	1.5780763966654223
dme-miR-10-3p	2	0.775570407075043	0.7083724129306571
dme-miR-1006-3p	2	0.7703894521141951	0.7167582591118691
dme-miR-277-3p	4	0.3912820181441469	1.3328502415458938
dme-miR-970-3p	2	0.21312473311647662	2.466273352999017
dme-miR-987-5p	5	0.11762263738311213	2.168766704849179
dme-miR-2498-5p	4	0.004034301780905001	7.2135535307517085
dme-miR-1014-3p	8	0.006206951565112431	3.7505898213683855
dme-miR-4983-3p	7	0.015286417679285947	3.3157585178338866
dme-miR-9369-3p	5	0.412011782963564	1.2581663630843958
dme-miR-4958-5p	1	0.5706965518165298	1.220042726743057
dme-miR-4973-5p	1	0.47263839035387106	1.621614716402657
dme-miR-9381-3p	0		
dme-miR-124-3p	0		
dme-miR-79-3p	1	0.828549365660253	0.5710478728466737
dme-miR-9a-3p	1	0.8288346650064848	0.5704844767745924
dme-miR-4943-5p	15	0.06149986436312971	2.397858319604613
dme-miR-9372-5p	1	0.8469553281465754	0.534923339011925
dme-miR-2283-5p	15	6.535679407387271e-05	6.693786982248521
dme-miR-289-5p	15	0.00015824102816674776	6.0490218642117375
dme-miR-972-5p	14	0.0008092229427482301	4.72428648357566
dme-miR-4974-3p	10	0.028341713418898712	2.6124586549062845
dme-miR-210-5p	2	0.6328524713363582	0.9533788174139052
dme-miR-1013-3p	5	0.1630405430918137	1.9220443985544657
dme-miR-4949-5p	0		
dme-miR-279-3p	1	0.43399216231996224	1.8269037716908074
dme-miR-286-3p	1	0.4357654381834578	1.8167165882185137
dme-miR-996-3p	1	0.4497628598336451	1.7390293916609707
dme-miR-978-5p	3	0.061245010426400986	3.684670529313562
dme-miR-283-3p	3	0.29635722526202024	1.6767533936651584
dme-miR-9374-3p	0		
dme-miR-989-3p	0		
dme-miR-210-3p.1	0		
dme-miR-210-3p.2	5	0.002361240090045518	6.492708333333334
dme-miR-955-5p	0		
dme-miR-307a-3p	1	0.41137469399163445	1.964296706678978
dme-miR-1-3p	1	0.6756427904679586	0.9094178962049475
dme-miR-9378-3p	1	0.23911449952462366	3.8444840915848943
dme-miR-4967-3p	6	0.07504366662246195	2.354806739345887
dme-miR-4984-5p	0		
dme-miR-4961-3p	7	0.13832498443121324	1.8742143326758711
dme-miR-975-3p	0		
dme-miR-4939-3p	0		
dme-miR-973-3p	0		
dme-miR-2280-5p	2	0.23929460242976314	2.272231314784506
dme-miR-318-5p	2	0.18071655299292247	2.7611220688143767
dme-miR-4-5p	5	0.1156658980410274	2.1817309537516794
dme-miR-iab-8-3p	1	0.715955202377009	0.8106844081417561
dme-miR-991-3p	6	0.052327923387349325	2.6124990331812206
dme-miR-9374-5p	0		
dme-miR-263a-3p	1	0.5210392664650941	1.405697118059419
dme-miR-972-3p	7	0.006013489312675986	4.044055944055944
dme-miR-4969-5p	4	0.07593596156685821	2.8035880708294503
dme-miR-1003-5p	3	0.05593758281569944	3.831889081455806
dme-miR-4986-5p	3	0.08420086247956968	3.1999141262344355
dme-miR-1008-5p	13	0.002200842903366979	4.019176381320273
dme-miR-2279-5p	14	0.0005311471339337836	4.989623243933589
dme-miR-959-3p	1	0.652945766872528	0.9692787524366472
dme-miR-9388-5p	6	0.28221459374159474	1.481924198250729
dme-let-7-3p	6	0.11497727112872588	2.06337938902269
dme-miR-1012-3p	1	0.5679567993373611	1.2295049892388965
dme-miR-4-3p	1	0.8666576423822303	0.49656386188400936
dme-miR-1017-3p	0		
dme-miR-3641-5p	3	0.1381165853176104	2.534928625612027
dme-miR-9c-3p	3	0.23196369272976225	1.9337698583082867
dme-miR-4948-3p	0		
dme-miR-1006-5p	3	0.22866227016497184	1.9492863321799307
dme-miR-9382-5p	2	0.15946438878180313	3.000474833808167
dme-miR-3644-5p	2	0.30025839905944307	1.919882225321556
dme-miR-4914-5p	2	0.30486262744177844	1.897471264367816
dme-miR-4910-5p	10	0.006928803805233652	3.4024185421565334
dme-miR-3642-5p	3	0.09239728910202832	3.067321178120617
dme-miR-3643-5p	2	0.5611814445935017	1.0963700018426386
dme-miR-2279-3p	0		
