	D	p-value
dme-miR-311-5p	1.0	0.0
dme-miR-955-3p	0.9999999999998709	2.582378755278114e-13
dme-miR-4970-5p	1.0	0.0
dme-miR-994-5p	1.0	0.0
dme-miR-4963-3p	0.9999999999999343	1.3145040611561853e-13
dme-miR-9370-5p	0.9999999999999548	9.037215420448774e-14
dme-miR-285-5p	1.0	0.0
dme-miR-33-5p	1.0	0.0
dme-let-7-5p	1.0	0.0
dme-miR-9377-5p	1.0	0.0
dme-miR-4968-5p	1.0	0.0
dme-miR-9385-3p	1.0	0.0
dme-miR-4958-3p	1.0	0.0
dme-miR-977-5p	0.9999999999999355	1.290079154614432e-13
dme-miR-986-5p	0.9999999999999372	1.2567724638756772e-13
dme-bantam-5p	1.0	0.0
dme-miR-4909-3p	0.9999999999998915	2.169375790117556e-13
dme-miR-13b-1-5p	0.9999999999944728	1.1054490656192684e-11
dme-miR-955-5p	1.0	0.0
dme-miR-4982-5p	0.9999999999971513	5.697442517771378e-12
dme-miR-992-5p	1.0	0.0
dme-miR-313-5p	1.0	0.0
dme-miR-4973-5p	1.0	0.0
dme-miR-977-3p	1.0	0.0
dme-miR-306-5p	1.0	0.0
dme-miR-960-5p	0.9999999999291797	1.41640699169443e-10
dme-miR-4941-3p	1.0	0.0
dme-miR-1008-3p	1.0	0.0
dme-miR-4948-5p	1.0	0.0
dme-miR-2a-2-5p	1.0	0.0
dme-miR-4967-3p	0.9999999999999983	3.3306690738754696e-15
dme-miR-1016-5p	0.9999999995881533	8.236933357608223e-10
dme-miR-124-3p	1.0	0.0
dme-miR-312-3p	0.9999999999720808	5.583844497891732e-11
dme-miR-2499-3p	1.0	0.0
dme-miR-9384-5p	1.0	0.0
dme-miR-4949-3p	1.0	0.0
dme-miR-978-3p	1.0	0.0
dme-miR-5-3p	0.9999999999999436	1.127986593019159e-13
dme-miR-79-3p	0.9999999996994186	6.01162897240215e-10
dme-miR-4917-3p	1.0	0.0
dme-miR-1014-5p	0.999999999999921	1.580957587066223e-13
dme-miR-2283-3p	1.0	0.0
dme-miR-4944-5p	1.0	0.0
dme-miR-2496-5p	1.0	0.0
dme-miR-9382-5p	0.9999999999970698	5.860423257786351e-12
dme-miR-14-3p	0.9999999999999984	3.1086244689504383e-15
dme-miR-4952-3p	1.0	0.0
dme-miR-274-3p	0.9999999995019453	9.961094171728746e-10
dme-miR-4972-5p	1.0	0.0
dme-miR-2493-5p	1.0	0.0
dme-miR-982-3p	0.9999999999946426	1.0714762410657386e-11
dme-miR-4942-3p	1.0	0.0
dme-miR-9381-5p	1.0	0.0
dme-miR-4976-5p	1.0	0.0
dme-miR-4958-5p	1.0	0.0
dme-miR-985-5p	1.0	0.0
dme-miR-4977-3p	1.0	0.0
dme-miR-279-5p	1.0	0.0
dme-miR-87-5p	1.0	0.0
dme-miR-281-1-5p	1.0	0.0
dme-miR-3641-3p	1.0	0.0
dme-miR-263b-5p	0.9999999999998183	3.6348701826227625e-13
dme-miR-958-3p	0.9999999999999998	4.440892098500626e-16
dme-miR-984-5p	1.0	0.0
dme-miR-966-5p	0.9999999998646123	2.707754021002984e-10
dme-miR-1002-5p	0.9999999996372562	7.254876699391843e-10
dme-miR-991-5p	1.0	0.0
dme-miR-4916-3p	0.9999999998162521	3.6749581155959277e-10
dme-miR-2a-2/2c	1.0	0.0
dme-miR-2492-5p	0.9999999999988142	2.3716584252042594e-12
dme-miR-1012-3p	1.0	0.0
dme-miR-13b-3p	0.9999999999760293	4.7941428604758585e-11
dme-miR-3645-5p	1.0	0.0
dme-bantam-3p	1.0	0.0
dme-miR-307a-3p	1.0	0.0
dme-miR-312-5p	1.0	0.0
dme-miR-137-5p	1.0	0.0
dme-miR-9369-3p	1.0	0.0
dme-miR-970-3p	1.0	0.0
dme-miR-974-3p	0.9999999999776045	4.479105975008224e-11
dme-miR-4960-3p	0.999999999999996	7.993605777301127e-15
dme-miR-973-5p	0.9999999999999997	6.661338147750939e-16
dme-miR-2283-5p	0.9999999999994267	1.1466383398328617e-12
dme-miR-3645-3p	1.0	0.0
dme-miR-307b-5p	1.0	0.0
dme-miR-4955-3p	1.0	0.0
dme-miR-92a-5p	1.0	0.0
dme-miR-286-3p	1.0	0.0
dme-miR-184-3p	1.0	0.0
dme-miR-4976-3p	1.0	0.0
dme-miR-966-3p	1.0	0.0
dme-miR-2490-5p	1.0	0.0
dme-miR-999-5p	0.9999999999999999	2.220446049250313e-16
dme-miR-304-5p	1.0	0.0
dme-miR-2500-3p	1.0	0.0
dme-miR-31a-3p	1.0	0.0
dme-miR-2a-1-5p	0.9999999999999968	6.439293542825908e-15
dme-miR-4962-3p	1.0	0.0
dme-miR-6-2-5p	1.0	0.0
