miRNAs	n_geneset	hyper_pval	OR
dme-miR-263b-5p	0		
dme-miR-133-3p	0		
dme-miR-316-5p	1	0.5243571194627158	1.4684928141505957
dme-miR-1011-3p	1	0.564771601430823	1.3042471042471042
dme-miR-956-3p	0		
dme-miR-2489-3p	0		
dme-miR-4946-5p	1	0.8465566105440973	0.5410844629822732
dme-miR-4976-5p	0		
dme-miR-284-5p	0		
dme-miR-1005-3p	0		
dme-miR-79-5p	0		
dme-miR-4967-5p	3	0.1423538728341308	2.918462226195798
dme-miR-4982-3p	1	0.3175596750629174	2.9242459667991585
dme-miR-929-5p	2	0.17456827226274757	3.1480891719745223
dme-miR-4950-5p	0		
dme-miR-280-5p	3	0.2667185754031628	2.03678391959799
dme-miR-2494-3p	0		
dme-miR-4911-3p	1	0.8344522292739219	0.5667225618001839
dme-miR-956-5p	3	0.12101266417320876	3.1731543624161076
dme-miR-4947-5p	0		
dme-miR-9370-5p	2	0.1774784706108699	3.1124244812188073
dme-miR-7-3p	6	0.01260966101005867	6.799302788844622
dme-miR-315-3p	2	0.18400838882323897	3.0354391371340523
dme-miR-34-5p	0		
dme-miR-1000-5p	1	0.7432449217413424	0.7712891986062718
dme-miR-310-5p	0		
dme-miR-4940-5p	0		
dme-miR-4956-3p	0		
dme-miR-2280-3p	5	0.006046851413284441	7.757183908045977
dme-miR-9373-3p	0		
dme-miR-980-5p	4	0.09946457167164675	3.181702263308894
dme-miR-982-3p	1	0.43467938061485134	1.9347481786506178
dme-miR-2492-5p	0		
dme-miR-193-5p	1	0.40786088511776636	2.1122571772391265
dme-miR-2492-3p	4	0.12373235838804097	2.892581602373887
dme-miR-4975-5p	3	0.08064703340868211	3.8669693530079456
dme-miR-4953-3p	6	0.022275119873389482	5.790261335715881
dme-miR-2499-3p	1	0.23107013108923743	4.287402904424181
dme-miR-10-3p	0		
dme-miR-1006-3p	0		
dme-miR-277-3p	2	0.3681426158592885	1.777027027027027
dme-miR-970-3p	1	0.29767287376738943	3.1680969207470975
dme-miR-987-5p	1	0.6820129919208777	0.928
dme-miR-2498-5p	0		
dme-miR-1014-3p	1	0.7309350676904265	0.8012234616768622
dme-miR-4983-3p	2	0.31118750155407215	2.0482933914306463
dme-miR-9369-3p	3	0.2243316898641033	2.265234801601747
dme-miR-4958-5p	1	0.28686068509219376	3.3147074327886137
dme-miR-4973-5p	1	0.2257252998573348	4.4056865464632455
dme-miR-9381-3p	0		
dme-miR-124-3p	0		
dme-miR-79-3p	0		
dme-miR-9a-3p	0		
dme-miR-4943-5p	7	0.06747055524271207	5.592704333516182
dme-miR-9372-5p	1	0.5278460241359271	1.4533949866147482
dme-miR-2283-5p	7	0.001604049575121652	15.59498031496063
dme-miR-289-5p	5	0.08668788586734168	3.35361653272101
dme-miR-972-5p	4	0.2541893763378412	2.0204927469491136
dme-miR-4974-3p	2	0.6969270438882149	0.8692702603593693
dme-miR-210-5p	4	0.005855781961736037	8.603221083455344
dme-miR-1013-3p	4	0.02032153863637254	5.768833849329205
dme-miR-4949-5p	0		
dme-miR-279-3p	0		
dme-miR-286-3p	0		
dme-miR-996-3p	0		
dme-miR-978-5p	1	0.31318349420401437	2.975279296410744
dme-miR-283-3p	1	0.5513454138287822	1.356342857142857
dme-miR-9374-3p	0		
dme-miR-989-3p	2	0.043868233507769416	7.4058997050147495
dme-miR-210-3p.1	1	0.4413071232329618	1.8940993788819875
dme-miR-210-3p.2	0		
dme-miR-955-5p	0		
dme-miR-307a-3p	0		
dme-miR-1-3p	0		
dme-miR-9378-3p	0		
dme-miR-4967-3p	0		
dme-miR-4984-5p	1	0.30657318299433167	3.055095075572891
dme-miR-4961-3p	3	0.2565594275775177	2.087196995561625
dme-miR-975-3p	0		
dme-miR-4939-3p	1	0.14315822025026897	7.353142857142857
dme-miR-973-3p	3	0.005397340567570858	11.736677115987462
dme-miR-2280-5p	1	0.31799594824250593	2.919234360410831
dme-miR-318-5p	1	0.2712941829279033	3.546119235095613
dme-miR-4-5p	1	0.679994033359615	0.9335357347993763
dme-miR-iab-8-3p	1	0.3954141813822798	2.2025746468800285
dme-miR-991-3p	1	0.7041275603322288	0.869021906818883
dme-miR-9374-5p	1	0.32925372771865535	2.794446932377967
dme-miR-263a-3p	0		
dme-miR-972-3p	1	0.6334059534190591	1.0693032711143966
dme-miR-4969-5p	1	0.49595884942808804	1.5987785448751992
dme-miR-1003-5p	0		
dme-miR-4986-5p	0		
dme-miR-1008-5p	6	0.014974155672780475	6.485177151120752
dme-miR-2279-5p	7	0.001941409963342365	14.952187425292852
dme-miR-959-3p	1	0.34499398201999437	2.6334391534391535
dme-miR-9388-5p	2	0.5661259115748913	1.151947463768116
dme-let-7-3p	3	0.14529172890658032	2.887284005316792
dme-miR-1012-3p	0		
dme-miR-4-3p	1	0.553156251920493	1.3491810737033667
dme-miR-1017-3p	0		
dme-miR-3641-5p	1	0.41704820189212133	2.048955722639933
dme-miR-9c-3p	1	0.5032766222227054	1.5638823835545148
dme-miR-4948-3p	0		
dme-miR-1006-5p	0		
dme-miR-9382-5p	0		
dme-miR-3644-5p	0		
dme-miR-4914-5p	0		
dme-miR-4910-5p	3	0.26653625524135016	2.037667560321716
dme-miR-3642-5p	1	0.3616460041592993	2.478121878121878
dme-miR-3643-5p	0		
dme-miR-2279-3p	1	0.19397846702514	5.242200328407225
dme-miR-4909-3p	2	0.4458023673175225	1.488611111111111
dme-miR-303-3p	4	0.03537019005678465	4.756033347959631
dme-miR-3645-5p	1	0.35378306976285046	2.549671592775041
dme-miR-190-5p	0		
dme-miR-965-3p	0		
dme-miR-7-5p	0		
dme-miR-9a-5p	0		
dme-miR-9b-5p	0		
dme-miR-9c-5p	0		
dme-miR-137-3p	2	0.2361351176679859	2.5377544320420222
dme-miR-315-5p	1	0.8333115082673083	0.5691489361702128
dme-bantam-3p	0		
dme-miR-968-5p	1	0.3718643568270873	2.3895752895752898
dme-miR-1002-5p	3	0.04422094727791704	5.0706051873198845
