"miRNAs"	"n_geneset"	"hyper_pval"	"OR"	"rFDRc_q"
"dme-miR-2283-5p"	17	1.04556888032343e-05	7.59003453379378	0.00561928819486638
"dme-miR-289-5p"	16	0.000172688985083543	5.37753222836096	0.0283143304316047
"dme-miR-33-5p"	10	0.000302776162280045	5.2774668905055	0.0325360076560662
"dme-miR-972-3p"	9	0.000507216065660469	5.20626187856357	0.032679097512177
"dme-miR-2279-5p"	15	0.000518060461685201	4.58289136013687	0.0334676692520169
"dme-miR-8-5p"	7	0.000660837246899904	6.01816896429834	0.0336615721652626
"dme-miR-4909-3p"	11	0.000725312752706514	4.48055207026349	0.0360682955542462
"dme-miR-972-5p"	15	0.000805666185206892	4.33913731697665	0.0426745379580842
"dme-miR-4911-3p"	11	0.00166393312263662	3.9806157354618	0.0601666892872571
"dme-miR-1008-5p"	14	0.00200061513787004	3.78779280367061	0.0649107552025302
"dme-miR-2491-5p"	7	0.00254169669155136	4.68514462229711	0.0679849813266968
"dme-miR-982-3p"	6	0.00299238146871767	5.10326086956522	0.0701743152226056
"dme-miR-3-5p"	5	0.00313867868913808	5.96256684491979	0.0721364278074492
"dme-miR-9373-5p"	9	0.00362673688566132	3.7987814166032	0.0726338158876246
"dme-miR-9370-5p"	7	0.00363070083236183	4.37130801687764	0.0733942815720103
"dme-miR-210-3p.2"	5	0.00369715955157032	5.72794117647059	0.0746201346520389
"dme-miR-310-3p"	7	0.0043238718393553	4.22290388548057	0.0746356112997929
"dme-miR-92b-3p"	7	0.00460868633730815	4.16957290876927	0.0746996507242869
"dme-miR-92a-3p"	7	0.00464773088348712	4.1625536209942	0.0755539825989056
"dme-miR-4910-5p"	11	0.00466298708266358	3.40322580645161	0.078004080681706
"dme-miR-311-3p"	7	0.00468703052516987	4.15555555555556	0.0782590118710549
"dme-miR-313-3p"	7	0.00476639953472638	4.14162270786235	0.0791536830725145
"dme-miR-312-3p"	7	0.00482660418223367	4.13122807017544	0.0806941022843689
"dme-miR-3644-3p"	8	0.00544414945748388	3.73945225758697	0.0822056477365615
"dme-miR-2498-5p"	4	0.00577528794221321	6.41103518096684	0.0827914623657299
"dme-miR-4975-5p"	8	0.005841373732223	3.69038133181559	0.0841604128963465
"dme-miR-2500-3p"	9	0.00749239406218825	3.3450754852624	0.0890317060293611
"dme-miR-2b-2-5p"	6	0.00808616505143593	4.09633757961783	0.0896442605528621
"dme-miR-4987-5p"	5	0.00812924040403591	4.69826272477903	0.0898238187001407
"dme-miR-2b-1-5p"	6	0.00826336322313964	4.07608695652174	0.0907955252837086
"dme-miR-9384-3p"	8	0.00861367443631754	3.42643581725269	0.0933748415885914
"dme-miR-4966-5p"	7	0.0093783484445228	3.60470483799379	0.0943021255132249
"dme-miR-375-5p"	4	0.00976036597483137	5.47640791476408	0.0943849443983647
"dme-miR-137-3p"	7	0.0099257102091832	3.56179183135705	0.0947447219195994
"dme-miR-34-5p"	4	0.0102241566128673	5.3993993993994	0.0959623156742005
"dme-miR-193-3p"	3	0.0111675338059244	7.25806451612903	0.100549050550302
"dme-miR-1014-3p"	8	0.011914736091289	3.21421349126101	0.105219618257052
"dme-miR-994-3p"	5	0.0137861204183341	4.09054406745633	0.117551190125922
"dme-miR-1003-5p"	4	0.0146323414659893	4.83333333333333	0.121356979776926
