miRNAs	n_geneset	hyper_pval	OR
dme-miR-263b-5p	2	0.4951086529840651	1.244
dme-miR-133-3p	2	0.05918367910034567	5.4761702127659575
dme-miR-316-5p	0		
dme-miR-1011-3p	4	0.16625598845463752	2.0316477468180256
dme-miR-956-3p	1	0.6614180491202111	0.944431826784768
dme-miR-2489-3p	6	0.1267839802665261	1.971704871060172
dme-miR-4946-5p	6	0.30356332130520414	1.421709323583181
dme-miR-4976-5p	0		
dme-miR-284-5p	1	0.5732769859795875	1.2079141515761234
dme-miR-1005-3p	1	0.5296104086105813	1.3673469387755102
dme-miR-79-5p	1	0.8027875518618252	0.6219088493766606
dme-miR-4967-5p	4	0.5318944806726604	1.0801033591731266
dme-miR-4982-3p	1	0.6505151817962508	0.9736575481256332
dme-miR-929-5p	1	0.8912117616010355	0.44880100011364926
dme-miR-4950-5p	1	0.6380079813501025	1.008218515832729
dme-miR-280-5p	7	0.21801332161925224	1.5847254836184725
dme-miR-2494-3p	0		
dme-miR-4911-3p	11	0.0016639331226366207	3.9806157354618015
dme-miR-956-5p	5	0.26562568300049216	1.5552670204358134
dme-miR-4947-5p	3	0.025670133179198185	5.244331455270029
dme-miR-9370-5p	7	0.0036307008323618307	4.371308016877637
dme-miR-7-3p	11	0.0447546955688746	2.2670157068062826
dme-miR-315-3p	2	0.6556116746093852	0.9095531587057011
dme-miR-34-5p	4	0.01022415661286731	5.3993993993994
dme-miR-1000-5p	7	0.04465843926413108	2.5251141552511416
dme-miR-310-5p	1	0.5344854436817515	1.3483541067433684
dme-miR-4940-5p	1	0.44274346575802526	1.771622934888241
dme-miR-4956-3p	1	0.6560078456195819	0.9588325652841782
dme-miR-2280-3p	8	0.029322165338226815	2.660336642209754
dme-miR-9373-3p	1	0.5755035384372211	1.2003809523809523
dme-miR-980-5p	8	0.1330730999910785	1.8186129223473622
dme-miR-982-3p	6	0.0029923814687176746	5.103260869565218
dme-miR-2492-5p	1	0.6878254648010609	0.8768253968253968
