miRNAs	n_geneset	hyper_pval	OR
dme-miR-263b-5p	2	0.586541554032026	1.0363247863247864
dme-miR-133-3p	0		
dme-miR-316-5p	3	0.4091970707531915	1.3413099651724525
dme-miR-1011-3p	1	0.9331684824138998	0.36463320463320464
dme-miR-956-3p	2	0.35683741679317993	1.6549893842887473
dme-miR-2489-3p	2	0.9361953033994858	0.43700349539243727
dme-miR-4946-5p	8	0.15788255085838898	1.6858966540635036
dme-miR-4976-5p	0		
dme-miR-284-5p	0		
dme-miR-1005-3p	0		
dme-miR-79-5p	2	0.5606598720751839	1.0892409595417114
dme-miR-4967-5p	8	0.06225297142672943	2.164078056551175
dme-miR-4982-3p	3	0.11878547503441457	2.675305204540587
dme-miR-929-5p	2	0.7267073663085261	0.785828025477707
dme-miR-4950-5p	0		
dme-miR-280-5p	7	0.37786574324056926	1.2506047070040078
dme-miR-2494-3p	0		
dme-miR-4911-3p	9	0.06115591967452931	2.1045776457183707
dme-miR-956-5p	11	0.0012174965614988994	3.8897016361886427
dme-miR-4947-5p	0		
dme-miR-9370-5p	4	0.24044056427037247	1.6980698859151897
dme-miR-7-3p	13	0.0301532113067658	2.2676477924669496
dme-miR-315-3p	2	0.7440151762427144	0.7577041602465331
dme-miR-34-5p	0		
dme-miR-1000-5p	5	0.38399778466653756	1.2863659637853186
dme-miR-310-5p	1	0.5949612703632119	1.1322595078299775
dme-miR-4940-5p	1	0.49900087474752686	1.4876967930029155
dme-miR-4956-3p	1	0.7167310403053915	0.8051612903225807
dme-miR-2280-3p	8	0.07473875319057233	2.0683834460269503
dme-miR-9373-3p	1	0.6367995520065672	1.008
dme-miR-980-5p	11	0.02955122186825222	2.3358892438764642
dme-miR-982-3p	4	0.0996513310310414	2.4675902517949235
dme-miR-2492-5p	2	0.3901606698559571	1.5363501483679525
dme-miR-193-5p	5	0.021845048726148883	3.5334254620832612
dme-miR-2492-3p	11	0.04809939865700907	2.1232431360888095
dme-miR-4975-5p	6	0.12676433397554196	1.9342239909039227
dme-miR-4953-3p	12	0.13958087864560167	1.6542799629357445
dme-miR-2499-3p	1	0.5745260244331238	1.1987706855791962
dme-miR-10-3p	3	0.7040741943827409	0.831668625146886
dme-miR-1006-3p	3	0.6971207188500625	0.8415195132809022
dme-miR-277-3p	5	0.39370447589532215	1.2694193192018228
dme-miR-970-3p	2	0.31040508563445135	1.84882005899705
dme-miR-987-5p	7	0.04918329421956316	2.398961854176726
dme-miR-2498-5p	0		
dme-miR-1014-3p	4	0.5689874867328807	1.019906430602697
dme-miR-4983-3p	5	0.2954545915565375	1.4635128464915699
dme-miR-9369-3p	10	0.03126679331896609	2.363138686131387
dme-miR-4958-5p	3	0.09060092751754309	3.033816425120773
dme-miR-4973-5p	2	0.19654417963178925	2.5727899432278996
dme-miR-9381-3p	1	0.38262191693727243	2.1433333333333335
dme-miR-124-3p	1	0.657899667958254	0.9505482041587902
dme-miR-79-3p	1	0.899041575656712	0.4337793851717902
dme-miR-9a-3p	1	0.899259973125609	0.4333514001806685
