Gene name	Transcript stable ID	Gene stable ID
Bx	FBtr0340366	FBgn0265598
Bx	FBtr0340366	FBgn0265598
Bx	FBtr0340366	FBgn0265598
Bx	FBtr0340366	FBgn0265598
CG33136	FBtr0340391	FBgn0053136
CG33136	FBtr0340391	FBgn0053136
CG33136	FBtr0340391	FBgn0053136
CG11164	FBtr0340397	FBgn0030507
CG11164	FBtr0340397	FBgn0030507
CG11164	FBtr0340397	FBgn0030507
CG11164	FBtr0340397	FBgn0030507
cactin	FBtr0340400	FBgn0031114
cactin	FBtr0340400	FBgn0031114
cactin	FBtr0340400	FBgn0031114
cactin	FBtr0340400	FBgn0031114
tbc	FBtr0340401	FBgn0052506
tbc	FBtr0340401	FBgn0052506
tbc	FBtr0340401	FBgn0052506
tbc	FBtr0340401	FBgn0052506
CG15456	FBtr0340402	FBgn0040650
CG15456	FBtr0340402	FBgn0040650
CG15456	FBtr0340402	FBgn0040650
CG15456	FBtr0340402	FBgn0040650
vap	FBtr0340415	FBgn0003969
vap	FBtr0340415	FBgn0003969
vap	FBtr0340415	FBgn0003969
vap	FBtr0340415	FBgn0003969
ND-20	FBtr0340417	FBgn0030718
ND-20	FBtr0340417	FBgn0030718
ND-20	FBtr0340417	FBgn0030718
ND-20	FBtr0340417	FBgn0030718
CG32532	FBtr0340418	FBgn0052532
CG32532	FBtr0340418	FBgn0052532
CG32532	FBtr0340418	FBgn0052532
CG32532	FBtr0340418	FBgn0052532
ND-B18	FBtr0340424	FBgn0030605
ND-B18	FBtr0340424	FBgn0030605
ND-B18	FBtr0340424	FBgn0030605
ND-B18	FBtr0340424	FBgn0030605
opm	FBtr0340429	FBgn0264389
opm	FBtr0340429	FBgn0264389
opm	FBtr0340429	FBgn0264389
opm	FBtr0340429	FBgn0264389
CG44426	FBtr0340430	FBgn0265608
CG44426	FBtr0340430	FBgn0265608
CG44426	FBtr0340430	FBgn0265608
CG44426	FBtr0340430	FBgn0265608
CG44428	FBtr0340431	FBgn0265610
CG44428	FBtr0340431	FBgn0265610
CG44428	FBtr0340431	FBgn0265610
CG44428	FBtr0340431	FBgn0265610
CG32512	FBtr0340438	FBgn0052512
CG32512	FBtr0340438	FBgn0052512
CG32512	FBtr0340438	FBgn0052512
CG32512	FBtr0340438	FBgn0052512
CG43071	FBtr0340446	FBgn0262481
CG43071	FBtr0340446	FBgn0262481
CG43071	FBtr0340446	FBgn0262481
ena	FBtr0340450	FBgn0000578
ena	FBtr0340450	FBgn0000578
ena	FBtr0340450	FBgn0000578
Usp16-45	FBtr0340462	FBgn0029763
Usp16-45	FBtr0340462	FBgn0029763
Usp16-45	FBtr0340462	FBgn0029763
Usp16-45	FBtr0340462	FBgn0029763
CG4119	FBtr0340463	FBgn0028474
CG4119	FBtr0340463	FBgn0028474
CG4119	FBtr0340463	FBgn0028474
CG4119	FBtr0340463	FBgn0028474
CG2972	FBtr0340473	FBgn0030177
CG2972	FBtr0340473	FBgn0030177
CG2972	FBtr0340473	FBgn0030177
CG2972	FBtr0340473	FBgn0030177
CG32694	FBtr0340479	FBgn0052694
CG32694	FBtr0340479	FBgn0052694
