Gene ID	Gene Symbol	Transcript ID	Gene Tax ID	miRNA	Site Type	UTR_start	UTR end	context++ score	context++ score percentile	weighted context++ score	weighted context++ score percentile
FBgn0000427	1-Dec	FBtr0309796	7227	dme-miR-210-3p.2	2	182	188	-0.020	3	-0.020	28
FBgn0000427	1-Dec	FBtr0071147	7227	dme-miR-210-3p.2	2	351	357	-0.020	3	-0.020	28
FBgn0000427	1-Dec	FBtr0310269	7227	dme-miR-210-3p.2	2	376	382	-0.020	3	-0.020	28
FBgn0011710	1-Sep	FBtr0077198	7227	dme-miR-4-3p	1	123	129	-0.320	43	-0.320	61
FBgn0011710	1-Sep	FBtr0077198	7227	dme-miR-33-5p	3	279	286	-0.894	93	-0.885	96
FBgn0011710	1-Sep	FBtr0077198	7227	dme-miR-190-5p	1	339	345	-0.837	77	-0.827	90
FBgn0020238	14-3-3epsilon	FBtr0083568	7227	dme-miR-927-5p	1	45	51	-0.420	63	-0.419	78
FBgn0020238	14-3-3epsilon	FBtr0083568	7227	dme-miR-986-5p	3	496	503	-0.678	86	-0.395	81
FBgn0020238	14-3-3epsilon	FBtr0083568	7227	dme-miR-1011-3p	1	765	771	-0.403	53	-0.051	28
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-927-5p	1	827	833	-0.208	38	-0.131	50
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-277-3p	3	973	980	-1.169	90	-0.071	31
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-276a-3p	1	1451	1457	-0.405	65	-0.030	42
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-276b-3p	1	1451	1457	-0.405	66	-0.030	42
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-315-5p	3	1585	1592	-0.718	61	-0.049	20
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-10-3p	1	1737	1743	-0.500	54	-0.036	23
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-1006-3p	1	1737	1743	-0.450	51	-0.033	24
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-1004-3p	2	1758	1764	-0.067	41	-0.006	17
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-1003-3p	2	1758	1764	-0.067	41	-0.006	16
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-312-3p	1	1876	1882	-0.372	50	-0.027	24
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-92b-3p	1	1876	1882	-0.382	53	-0.028	26
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-311-3p	1	1876	1882	-0.562	74	-0.039	30
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-92a-3p	1	1876	1882	-0.382	54	-0.028	26
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-313-3p	1	1876	1882	-0.632	80	-0.043	29
FBgn0004907	14-3-3zeta	FBtr0088414	7227	dme-miR-310-3p	1	1876	1882	-0.342	51	-0.025	27
FBgn0004364	18w	FBtr0086309	7227	dme-miR-316-5p	2	157	163	-0.378	41	-0.373	64
FBgn0004364	18w	FBtr0086309	7227	dme-miR-13a-3p	1	410	416	-0.618	70	-0.609	75
FBgn0004364	18w	FBtr0086309	7227	dme-miR-5-3p	1	410	416	-0.488	57	-0.481	65
FBgn0004364	18w	FBtr0086309	7227	dme-miR-2a-3p	1	410	416	-0.488	56	-0.481	64
FBgn0004364	18w	FBtr0086309	7227	dme-miR-308-3p	1	410	416	-0.518	60	-0.511	68
FBgn0004364	18w	FBtr0086309	7227	dme-miR-11-3p	1	410	416	-0.668	71	-0.658	77
FBgn0004364	18w	FBtr0086309	7227	dme-miR-2c-3p	1	410	416	-0.488	56	-0.481	64
FBgn0004364	18w	FBtr0086309	7227	dme-miR-13b-3p	1	410	416	-0.618	70	-0.609	75
FBgn0004364	18w	FBtr0086309	7227	dme-miR-6-3p	1	410	416	-0.488	53	-0.481	62
FBgn0004364	18w	FBtr0086309	7227	dme-miR-2b-3p	1	410	416	-0.488	56	-0.481	64
FBgn0004364	18w	FBtr0086309	7227	dme-miR-1000-5p	1	642	648	-0.393	46	-0.388	70
FBgn0250848	26-29-p	FBtr0075766	7227	dme-miR-313-3p	1	75	81	-0.471	65	-0.447	76
FBgn0250848	26-29-p	FBtr0075766	7227	dme-miR-310-3p	1	75	81	-0.471	66	-0.447	76
FBgn0250848	26-29-p	FBtr0075766	7227	dme-miR-312-3p	1	75	81	-0.551	69	-0.522	79
FBgn0250848	26-29-p	FBtr0075766	7227	dme-miR-92b-3p	1	75	81	-0.471	64	-0.447	75
FBgn0250848	26-29-p	FBtr0075766	7227	dme-miR-311-3p	1	75	81	-0.501	69	-0.475	77
