Group	Complex	Name	ID	Function	flybase	review	emphasized as PcG/trxG in review	USE ONLY IN POSTERIOR ANALYSIS	coment
trxG	TAC1	trx	FBgn0003862	stymulate H3K27ac by nej product by H3K27me1	1	1	1	0	CONTROVERSIAL COMPLEX. opposing role to PcG. Highlighted in review
trxG	TAC1	nej	FBgn0261617	acetylates H3K27	1	1	0	0	CONTROVERSIAL COMPLEX
trxG	TAC1	Sbf	FBgn0025802	antiphosphatase. Not clear	1	1	0	0	CONTROVERSIAL COMPLEX
									
trxG	COMPASS-SET1	Ash2	FBgn0000139	stabilize the complex	1	1	1	0	
trxG	COMPASS-SET1	dSET1	FBgn0040022	di and trimethilate H3K4. Characterize the complex	1	1	0	0	Not highlighted as trxG in the review
trxG	COMPASS-SET1	Rbbp5	FBgn0036973	NA	1	1	0	0	
trxG	COMPASS-SET1	Wds	FBgn0040066	NA	1	1	0	0	
trxG	COMPASS-SET1	Dpy-30L1	FBgn0032293	NA	1	1	0	0	
trxG	COMPASS-SET1	Hcf	FBgn0039904	NA	1	1	0	0	only showed at reviews figure, not at text
trxG	COMPASS-SET1	Wdr82	FBgn0032030	NA	1	1	0	0	only showed at reviews figure, not at text
trxG	COMPASS-SET1	Cfp1	FBgn0030121	help recruit compex to rich CpG areas	1	1	0	0	only showed at reviews figure, not at text
									
trxG	COMPASS-TRX	Ash2	FBgn0000139	stabilize the complex	1	1	1	0	
trxG	COMPASS-TRX	trx	FBgn0003862	monomethilation of H3K4	1	1	1	0	 opposing role to PcG. Highlighted in review
trxG	COMPASS-TRX	Rbbp5	FBgn0036973	NA	1	1	0	0	
trxG	COMPASS-TRX	Wds	FBgn0040066	NA	1	1	0	0	
trxG	COMPASS-TRX	Dpy-30L1	FBgn0032293	NA	1	1	0	0	
trxG	COMPASS-TRX	Hcf	FBgn0039904	NA	1	1	0	0	only showed at reviews figure, not at text
trxG	COMPASS-TRX	Mnn1	FBgn0031885	NA	1	1	0	0	only showed at reviews figure, not at text
									
trxG	COMPASS-TRR	Ash2	FBgn0000139	stabilize the complex	1	1	1	0	core of all Compass complexes
trxG	COMPASS-TRR	Trr	FBgn0023518	methilates H3K4. Trimetilates acording to Flybase	1	1	0	0	methiltransferase of the TRR COMPASS complex
trxG	COMPASS-TRR	Rbbp5	FBgn0036973	NA	1	1	0	0	core of all Compass complexes
trxG	COMPASS-TRR	Wds	FBgn0040066	NA	1	1	0	0	core of all Compass complexes
trxG	COMPASS-TRR	Dpy-30L1	FBgn0032293	NA	1	1	0	0	core of all Compass complexes
trxG	COMPASS-TRR	Ncoa6	FBgn0031698	recruits TRR-COMPASS to hippo target genes 	1	0	NA	0	MAY BE TRUE. Complex not represented in review. Components acording to Flybase and Polycomb and Trithorax page
trxG	COMPASS-TRR	Pa1	FBgn0030294	NA	1	0	NA	0	MAY BE TRUE. Complex not represented in review. Components acording to Flybase and Polycomb and Trithorax page
trxG	COMPASS-TRR	Utx	FBgn0260749	H3K27 demethylase	1	0	NA	0	MAY BE TRUE. Complex not represented in review. Components acording to Flybase and Polycomb and Trithorax page
trxG	COMPASS-TRR	Ptip	FBgn0052133	NA	1	0	NA	0	MAY BE TRUE. Complex not represented in review. Components acording to Flybase and Polycomb and Trithorax page
trxG	COMPASS-TRR	Lpt	FBgn0263667	NA	1	0	NA	0	MAY BE TRUE. complex not represented in review. Compoonent acording to only flybase
									
trxG	ASH1	Ash1	FBgn0005386	dimethilates H3K36	1	1	1	0	NOT REALLY A COMPLEX. More like a stand-alone protein. opposing role to PcG. Highlighted in review
trxG	ASH1	fs(1)h	FBgn0004656	Histone binding and release of poissed RNA-Pol II	0	1	1	0	Found to interact with Ash1 and give homeotic phenotype when mutated (isoform S)  in review . Therefore highlighted as trxG
									
trxG	BAP	brm	FBgn0000212	ATPAse subunit	1	1	1	0	
trxG	BAP	mor	FBgn0002783	interact with Brm for the formation of the core BAP. Predicted histon binding 	1	1	1	0	
trxG	BAP	osa	FBgn0261885	Possible DNA binding	1	1	1	0	
trxG	BAP	Bap60	FBgn0025463	required for BAP complex function (acording to FlyBase)	1	1	0	0	highlighted as non trxG component of BAP/PBAP
trxG	BAP	Act5C	FBgn0000042	NA	1	1	0	0	highlighted as non trxG component of BAP/PBAP
trxG	BAP	Act42A	FBgn0000043	NA	1	0	NA	0	only mentioned in FlyBase
