	Hairpin	Distance_PRE	PRE	score_kf19	PcG_OR	PcG_pval	trxG_OR	trxG_pval	PcG_complex	PcG_genes	trxG_complex	trxG_genes
dme-bantam-3p	dme-bantam	11858.0	3L:629801..630350	0.855	1.9208352110560312	0.41724468182464525			PRC1	Ph-p [-0.542]		
dme-bantam-5p	dme-bantam	11858.0	3L:629801..630350	0.855	2.359338061465721	0.11589331195430952	0.8827433628318584	0.669204602901895	PRC1, PRC2, PhoRC, dRAF	"Pc [-0.328] ,
 Su(z)2 [-0.305] ,
 Jing [-0.460] ,
 dSfmbt [-0.390]"	TAC1, COMPASS-TRX	"nej [-0.225] ,
 Mnn1 [-0.522]"
dme-let-7-3p	dme-let-7	3334.0	2L:18468151..18468700	0.805	1.8051242236024845	0.1644880349083144	2.1409117821195975	0.06505657313378933	PRC1, PRC2, PhoRC, dRAF, PR-DUB	"Pc [-0.299] ,
 Su(z)2 [-0.067] ,
 Jing [-0.391] ,
 dSfmbt [-0.681] ,
 Asx [-0.352] ,
 Calypso [-0.012]"	COMPASS-SET1, COMPASS-TRX, COMPASS-TRR, BAP, PBAP, KIS	"Wds [-0.086] ,
 Dpy-30L1 [-1.761] ,
 Hcf [-0.006] ,
 Trr [-0.429] ,
 brm [-0.363] ,
 osa [-0.022] ,
 e(y)3 [-0.000] ,
 Kis [-0.494]"
dme-let-7-5p	dme-let-7	3334.0	2L:18468151..18468700	0.805	2.6772717820752754	0.32241891071500384	2.2482096069868995	0.3687575380668307	PRC2	Jing [-0.099]	COMPASS-SET1, COMPASS-TRX, COMPASS-TRR	Dpy-30L1 [-1.496]
dme-miR-1-3p	dme-mir-1	17391.0	2L:20469551..20470050	0.895	0.8226738394102411	0.7102097958050317	0.6908228730822873	0.7686971752358069	PR-DUB	Calypso [-0.191]	BAP, PBAP	Act5C [-0.516]
dme-miR-1-5p	dme-mir-1	17391.0	2L:20469551..20470050	0.895	1.3452380952380953	0.5352932461859987			dRAF	Kdm2 [-0.185]		
dme-miR-10-3p	dme-mir-10	897.0	3R:6810479..6811128	0.9	0.6374226223972989	0.8196252139844237	0.831668625146886	0.7040741943827409	PRC1, dRAF	"Pc [-0.078] ,
 Su(z)2 [-0.323]"	TAC1, COMPASS-TRX, PBAP	"Sbf [-0.027] ,
 Mnn1 [-0.222] ,
 e(y)3 [-0.203]"
dme-miR-10-5p	dme-mir-10	897.0	3R:6810479..6811128	0.9	3.804232804232804	0.24052679923749812	3.194567901234568	0.27761992308443273	PRC2	Su(z)12 [-0.096]	TAC1, COMPASS-TRX	trx [-0.158]
dme-miR-100-3p	dme-mir-100	2734.0	2L:18468151..18468700	0.805	3.7341991341991343	0.24438733029074955			PRC1	Ph-p [-0.131]		
dme-miR-100-5p	dme-mir-100	2734.0	2L:18468151..18468700	0.805			6.946666666666666	0.1402578869045541			BAP, PBAP	brm [-0.065]
dme-miR-1000-3p	dme-mir-1000	471.0	3R:25589429..25590028	0.835	3.195618153364632	0.051328663139020785	1.1949648711943794	0.5128777787758307	PRC1, PRC2, PhoRC, dRAF, PRE-binding/Recruiters	"Su(z)2 [-0.835] ,
 Scm [-0.148] ,
 Su(z)12 [-0.314] ,
 Cg [-0.664]"	COMPASS-TRX, ASH1	"Mnn1 [-0.774] ,
 fs(1)h [-0.250]"
