	microMUMMIE_var	miRNA	type	gene	gene_id	Chr	strand	seed_start	seed_end	transcript_id	UTR_start	UTR_end	probability	Tr:miR
66266	0.5	dme-miR-184-3p	6mer3-8	Trp1	FBgn0011584	2L	+	10011984	10011989	FBtr0343741	10011911	10012118	0.719426862	FBtr0343741:dme-miR-184-3p
66267	0.5	dme-miR-184-3p	6mer3-8	Trp1	FBgn0011584	2L	+	10011984	10011989	FBtr0305986	10011911	10012118	0.719426862	FBtr0305986:dme-miR-184-3p
66268	0.5	dme-miR-276a-3p	6mer2-7	Trp1	FBgn0011584	2L	+	10012081	10012086	FBtr0343741	10011911	10012118	0.940179232	FBtr0343741:dme-miR-276a-3p
66269	0.5	dme-miR-276a-3p	6mer2-7	Trp1	FBgn0011584	2L	+	10012081	10012086	FBtr0305986	10011911	10012118	0.940179232	FBtr0305986:dme-miR-276a-3p
66270	0.5	dme-bantam-3p	6mer3-8	Trp1	FBgn0011584	2L	+	10013099	10013104	FBtr0079932	10012492	10013170	0.800454915	FBtr0079932:dme-bantam-3p
66271	0.5	dme-bantam-3p	6mer3-8	Trp1	FBgn0011584	2L	+	10013099	10013104	FBtr0079931	10012492	10013170	0.800454915	FBtr0079931:dme-bantam-3p
66272	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0306590	9837	11214	0.888620018	FBtr0306590:dme-miR-305-5p
66273	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0078170	9837	11214	0.888620018	FBtr0078170:dme-miR-305-5p
66274	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0306589	9837	11214	0.888620018	FBtr0306589:dme-miR-305-5p
66275	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0078167	9837	11214	0.888620018	FBtr0078167:dme-miR-305-5p
66276	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0078169	9837	11214	0.888620018	FBtr0078169:dme-miR-305-5p
66277	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0306591	9837	11214	0.888620018	FBtr0306591:dme-miR-305-5p
